Date,Open,High,Low,Close
2009-05-15,2508.1115,2552.8078,2380.7347,2505.8129
2009-05-22,2492.8140,2563.5870,2430.7275,2460.0574
2009-05-27,2414.3845,2534.4037,2378.3441,2462.7793
2009-06-05,2491.0714,2582.4853,2465.4201,2508.2922
2009-06-12,2508.6455,2578.3673,2427.7061,2476.7419
2009-06-19,2471.2042,2629.7918,2436.6605,2577.5414
2009-06-26,2596.0733,2643.4962,2484.7289,2594.0853
2009-07-03,2598.7306,2754.3591,2574.2650,2722.8594
2009-07-10,2730.9604,2862.4477,2673.5161,2812.8867
2009-07-17,2803.5956,2966.9572,2768.5443,2903.3730
2009-07-24,2911.3385,3022.3968,2866.0246,2938.0106
2009-07-31,2956.4201,3068.9779,2746.3278,2949.6102
2009-08-07,2970.8668,3088.7025,2875.9672,2901.7177
2009-08-14,2938.9643,2987.7971,2690.4175,2726.7943
2009-08-21,2682.6403,2726.4521,2419.6009,2597.3056
2009-08-28,2607.3320,2703.8549,2488.5289,2566.2830
2009-09-04,2535.5227,2589.7769,2315.5502,2548.1629
2009-09-11,2565.8026,2699.9299,2516.9557,2672.5563
2009-09-18,2686.5948,2813.8391,2651.7189,2683.2026
2009-09-25,2641.3204,2745.5952,2467.1812,2550.2131
2009-09-30,2557.4368,2595.6312,2407.2862,2519.6435
2009-10-09,2595.6504,2684.9467,2574.5897,2676.3384
2009-10-16,2696.0015,2851.1299,2648.7608,2806.8725
2009-10-23,2808.2206,3006.2027,2780.6744,2958.9555
2009-10-30,2968.8339,2999.2338,2768.3121,2826.4171
2009-11-06,2756.6764,3049.2028,2727.3337,3003.6679
2009-11-13,3007.1331,3087.2492,2945.2488,3019.2243
2009-11-20,3038.5770,3186.6551,3029.4945,3114.0556
2009-11-27,3119.0741,3220.2628,2868.7213,2896.4257
2009-12-04,2929.3950,3161.5311,2908.7103,3116.9933
2009-12-11,3108.4428,3175.6140,3013.0205,3055.1758
2009-12-18,3046.6799,3100.4737,2801.6563,2829.6745
2009-12-25,2829.7190,2902.5133,2716.2429,2863.2977
2009-12-31,2872.0082,2985.2256,2860.2032,2962.9399
2010-01-08,2976.8701,2994.9809,2803.3519,2870.7015
2010-01-15,2952.7606,2970.9386,2735.8771,2826.6737
2010-01-22,2817.9128,2877.5191,2626.8159,2686.2743
2010-01-29,2670.5425,2717.1223,2494.8004,2544.0875
2010-02-05,2530.2209,2614.0723,2439.0122,2509.6702
2010-02-12,2508.9515,2607.9553,2475.6254,2589.4643
2010-02-26,2587.2363,2667.7392,2498.5341,2633.8120
2010-03-05,2642.4861,2693.4588,2569.4163,2599.7424
2010-03-12,2609.0658,2705.1226,2576.5074,2585.8228
2010-03-19,2585.1145,2685.7340,2531.4938,2664.5234
2010-03-26,2667.7671,2703.3503,2612.5972,2662.1123
2010-04-02,2682.9715,2815.9952,2664.5638,2774.7216
2010-04-09,2789.2742,2827.1056,2710.1117,2778.7372
2010-04-16,2794.2736,2866.7320,2708.2215,2798.7913
2010-04-23,2764.5229,2807.5513,2602.3918,2731.4911
2010-04-30,2734.5819,2795.2924,2500.0983,2594.0947
2010-05-07,2545.6498,2631.0811,2375.7316,2419.2627
2010-05-14,2423.0270,2499.5828,2295.4290,2443.0536
2010-05-21,2405.3536,2438.6017,2240.7893,2374.3364
2010-05-28,2391.1437,2527.8990,2385.4872,2482.2134
2010-06-04,2474.0452,2508.2759,2335.1198,2397.9859
2010-06-11,2353.6511,2466.3461,2312.5131,2425.6618
2010-06-18,2443.1426,2466.0010,2302.8172,2326.4343
2010-06-25,2322.5673,2416.2291,2293.2996,2343.2135
2010-07-02,2340.7035,2368.1345,2039.9675,2133.7583
2010-07-09,2107.0724,2312.9154,2052.5042,2284.4810
2010-07-16,2285.3447,2348.5267,2215.0712,2280.0455
2010-07-23,2256.6594,2489.8363,2240.0547,2454.7225
2010-07-30,2459.8732,2578.4271,2430.0496,2525.7735
2010-08-06,2528.2973,2636.1123,2500.4292,2614.7232
2010-08-13,2613.7134,2677.0776,2528.0893,2602.4313
2010-08-20,2603.8515,2754.6127,2586.0399,2637.9096
2010-08-27,2636.8528,2700.8583,2587.7791,2642.4276
2010-09-03,2658.0154,2823.1831,2645.5008,2769.2381
2010-09-10,2782.4319,2887.1302,2748.5642,2826.2493
2010-09-17,2831.9332,2919.5417,2707.9204,2778.9535
2010-09-21,2783.3077,2829.1734,2718.2898,2779.6641
2010-09-30,2801.4503,2918.6365,2769.5700,2880.4277
2010-10-08,2908.0529,3024.4605,2884.8538,2981.0614
2010-10-15,2992.6296,3071.4945,2822.5498,2930.5831
2010-10-22,2928.5781,3169.3364,2800.1606,3110.4701
2010-10-29,3116.8113,3282.9864,3070.1056,3151.2342
2010-11-05,3164.7041,3320.6322,3103.9649,3244.2157
2010-11-12,3256.2011,3438.9051,3077.8995,3109.2719
2010-11-19,3117.4857,3283.2522,2924.4534,3077.0005
2010-11-26,3058.0189,3247.1138,2985.1136,3181.7593
2010-12-03,3183.1172,3265.2398,3039.1918,3096.8629
2010-12-10,3109.3157,3180.9266,2983.4672,3063.9209
2010-12-17,3079.0727,3198.9893,3057.6479,3131.8826
2010-12-24,3139.6153,3173.2217,2937.5515,2976.7826
2010-12-31,2984.7022,3041.4075,2801.8463,2987.2399
2011-01-07,3003.5210,3046.5522,2915.8963,2952.3689
2011-01-14,2956.9981,2986.6257,2817.1248,2871.5322
2011-01-21,2846.4835,2882.4863,2659.5351,2709.7368
2011-01-28,2711.2125,2789.9772,2589.7254,2767.5219
2011-02-01,2763.3259,2836.3760,2738.7242,2802.3922
2011-02-11,2784.8780,2941.1707,2732.2723,2890.8414
2011-02-18,2897.7637,3071.2975,2884.3498,2978.0307
2011-02-25,2956.4285,3061.2834,2893.7154,2966.0346
2011-03-04,2969.5249,3063.6949,2917.7262,2984.1109
2011-03-11,2994.1676,3079.1421,2964.8038,2990.5310
2011-03-18,2980.4026,3048.9667,2888.8758,2947.4665
2011-03-25,2949.2440,3053.5451,2880.2165,3015.4321
2011-04-01,3026.4230,3080.9235,2881.3648,2944.7124
2011-04-08,2935.8752,3049.5195,2884.3058,3023.8005
2011-04-15,3036.9007,3096.1345,2927.5426,2965.8946
2011-04-22,2954.5035,2998.7667,2842.4738,2951.0801
2011-04-29,2945.0337,2969.3111,2733.5023,2810.7954
2011-05-06,2813.1465,2853.7222,2678.9138,2758.4422
2011-05-13,2761.5509,2837.2318,2697.2114,2757.9198
2011-05-20,2756.6852,2790.7969,2672.8784,2734.1712
2011-05-27,2732.4980,2751.7426,2548.6996,2591.4471
2011-06-03,2579.7140,2695.3919,2524.2601,2668.6509
2011-06-10,2666.6229,2722.7039,2585.4195,2645.0720
2011-06-17,2621.3196,2716.1266,2536.9167,2554.8511
2011-06-24,2550.1177,2772.4077,2501.4060,2724.0739
2011-07-01,2722.3895,2807.6849,2691.6503,2767.2299
2011-07-08,2779.5090,2920.9531,2765.4370,2851.5710
2011-07-15,2842.1888,2963.6002,2816.4955,2930.5354
2011-07-22,2939.1810,2982.7422,2833.7496,2874.6367
2011-07-29,2855.6445,2883.4338,2742.5931,2771.6692
2011-08-05,2767.5322,2826.8318,2679.3624,2748.0546
2011-08-12,2702.8632,2788.6800,2516.4397,2741.3777
2011-08-19,2749.0870,2821.2677,2615.9761,2665.5833
2011-08-26,2666.5745,2738.0979,2592.0807,2714.3435
2011-09-02,2699.9961,2737.3439,2598.3823,2621.7672
2011-09-09,2598.0583,2610.2619,2474.8827,2511.8470
2011-09-16,2467.6334,2514.2272,2406.8211,2479.3345
2011-09-23,2471.7883,2553.1847,2364.0210,2424.8727
2011-09-30,2398.7450,2449.6763,2310.7804,2342.3956
2011-10-14,2351.5574,2394.0779,2218.7102,2345.3030
2011-10-21,2351.2106,2398.6636,2139.5317,2167.7677
2011-10-28,2176.8545,2404.1840,2137.4777,2374.6972
2011-11-04,2370.2953,2445.7339,2288.0841,2408.5165
2011-11-11,2402.1796,2435.1173,2338.4124,2359.5750
2011-11-18,2380.3919,2432.1396,2260.5176,2274.0816
2011-11-25,2272.9825,2310.9734,2230.8117,2272.2894
2011-12-02,2279.6212,2318.1016,2200.7592,2236.1664
2011-12-09,2237.6404,2247.9988,2116.0611,2135.1092
2011-12-16,2131.2600,2144.6263,1934.1031,2004.0749
2011-12-23,1984.8883,2022.3517,1892.2595,1986.2236
2011-12-30,1973.8182,2009.4533,1873.2802,1966.9246
2012-01-06,1981.1944,1999.1886,1834.4751,1890.3241
2012-01-13,1891.2847,2100.7929,1854.2707,2024.9704
2012-01-20,2002.4356,2128.0821,1918.8920,2104.0334
2012-02-03,2113.5622,2130.2091,2034.6226,2099.8126
2012-02-10,2107.5553,2198.3499,2049.9273,2162.4812
2012-02-17,2138.8998,2204.1240,2121.4757,2159.8025
2012-02-24,2189.7079,2297.8801,2136.5088,2274.4482
2012-03-02,2283.4205,2334.5716,2252.8428,2311.7102
2012-03-09,2318.9755,2349.0278,2208.7868,2315.0521
2012-03-16,2319.5233,2388.8888,2228.4193,2317.1873
2012-03-23,2314.8075,2335.6549,2259.8627,2278.2867
2012-03-30,2279.0186,2308.0114,2191.1130,2221.0120
2012-04-06,2211.4858,2277.2773,2190.2976,2263.7923
2012-04-13,2255.1158,2331.0958,2219.4423,2311.4394
2012-04-20,2299.9483,2350.6762,2268.8454,2341.9026
2012-04-27,2339.2436,2384.9667,2294.9241,2364.0035
