Date,CSI300,CSI300_SP_FV_SPMO
2006-11-07,1567.028424,1445.859805
2006-11-08,1548.496124,1445.121784
2006-11-09,1575.927649,1453.284079
2006-11-10,1554.583979,1433.523878
2006-11-13,1525.354005,1410.772449
2006-11-14,1543.958656,1431.246221
2006-11-15,1586.315245,1466.213383
2006-11-16,1584.795866,1476.185109
2006-11-17,1614.552972,1482.143127
2006-11-20,1646.677003,1492.979031
2006-11-21,1666.408269,1517.389894
2006-11-22,1678.583979,1542.002702
2006-11-23,1689.829457,1543.920652
2006-11-24,1691.555556,1565.688882
2006-11-27,1707.286822,1596.282052
2006-11-28,1699.235142,1592.560616
2006-11-29,1723.142119,1644.257059
2006-11-30,1771.948320,1687.877237
2006-12-01,1787.307494,1725.316152
2006-12-04,1840.558140,1756.625695
2006-12-05,1854.501292,1768.652842
2006-12-06,1839.183463,1744.785752
2006-12-07,1835.359173,1712.372272
2006-12-08,1769.074935,1661.202108
2006-12-11,1850.046512,1732.066444
2006-12-12,1863.348837,1737.924545
2006-12-13,1864.454780,1747.460333
2006-12-14,1897.819121,1810.679293
2006-12-15,1930.377261,1865.344244
2006-12-18,1980.475452,1942.286409
2006-12-19,1985.984496,1928.362165
2006-12-20,2001.602067,1954.307426
2006-12-21,1973.116279,1917.459547
2006-12-22,1959.317829,1891.895862
2006-12-25,2004.237726,1926.691956
2006-12-26,2003.348837,1919.005479
2006-12-27,2049.488372,1966.802454
2006-12-28,2046.439276,1979.193832
2006-12-29,2109.612403,2028.833456
2007-01-04,2136.527132,2017.356220
2007-01-05,2142.511628,2022.981805
2007-01-08,2203.162791,2062.866780
2007-01-09,2273.994832,2126.818294
2007-01-10,2331.751938,2201.224928
2007-01-11,2306.594315,2205.739259
2007-01-12,2246.770026,2202.806914
2007-01-15,2364.175711,2326.242858
2007-01-16,2432.940568,2427.879151
2007-01-17,2386.490956,2366.020667
2007-01-18,2394.935401,2437.400911
2007-01-19,2476.578811,2530.874417
2007-01-22,2574.997416,2618.628828
2007-01-23,2592.382429,2570.269842
2007-01-24,2621.633075,2619.800840
2007-01-25,2535.224806,2544.837978
2007-01-26,2597.333333,2596.729770
2007-01-29,2663.483204,2626.046002
2007-01-30,2637.602067,2605.817357
2007-01-31,2465.467700,2421.014974
2007-02-01,2475.627907,2455.722166
2007-02-02,2375.193798,2365.435571
2007-02-05,2348.113695,2346.825198
2007-02-06,2393.839793,2346.969754
2007-02-07,2449.395349,2394.025726
2007-02-08,2491.576227,2433.737692
2007-02-09,2477.777778,2428.503027
2007-02-12,2568.878553,2531.275515
2007-02-13,2607.369509,2556.808116
2007-02-14,2675.297158,2623.501776
2007-02-15,2758.273902,2719.220412
2007-02-16,2766.656331,2691.272870
2007-02-26,2798.635659,2692.414937
2007-02-27,2540.041344,2437.127830
