Date,Open,High,Low,Close,Net_Close,n_holdings
2024-01-04,4476.983206040018,4523.561255797015,4411.227727455614,4468.461417356155,4075.5220089746786,55
2024-01-05,4458.699044084013,4525.9461569773775,4406.526034119071,4446.355864264925,4055.3603336844017,55
2024-01-08,4440.344610007784,4470.514766386155,4372.005505416151,4394.278649557849,4007.8625900806614,55
2024-01-09,4389.912564994438,4432.967773961657,4336.921953429684,4392.979378077792,4006.6775715657786,55
2024-01-10,4381.081191828624,4417.933534303448,4326.269133749392,4349.331597100783,3966.8680095264235,55
2024-01-11,4343.6134009572415,4383.392067535221,4283.475802521447,4327.857765387912,3947.282504452374,55
2024-01-12,4315.268523528665,4373.058208941108,4285.840795568426,4329.134146272474,3948.446645283189,55
2024-01-15,4313.89679216484,4373.093306217708,4280.721622259108,4336.640249689216,3955.292690670926,55
2024-01-16,4325.648890274163,4377.6520075465,4291.870924898806,4359.74670991083,3976.3672571462935,55
2024-01-17,4347.635643077602,4377.725154222017,4286.38638536426,4288.964285366021,3911.809168323935,55
2024-01-18,4279.443949042257,4347.764894873228,4163.168444772737,4319.5911759374385,3939.7428472643983,55
2024-01-19,4303.42500912787,4352.875073637417,4256.711270705996,4315.952465224554,3936.424110856145,55
2024-01-22,4319.82447800412,4369.044922501187,4229.686621789684,4272.21958107749,3896.5369292940513,55
2024-01-23,4249.858519058611,4321.475244694468,4192.390917936906,4282.8552137551,3906.2373051076606,55
2024-01-24,4298.174344176122,4423.862611198031,4254.830681532659,4407.236223616134,4019.680724629691,55
2024-01-25,4412.419094209429,4614.001687294517,4390.831562143327,4593.0883370045085,4189.189713917761,55
2024-01-26,4574.990285038829,4674.77478903449,4514.360256402444,4626.894611535664,4220.023193951406,55
2024-01-29,4616.89258264389,4757.188921419092,4556.842023056907,4623.510736428072,4216.93688387988,55
2024-01-30,4597.497518725937,4685.457895352213,4548.601717050747,4581.240962272273,4178.384152011765,55
2024-01-31,4556.2734392149405,4646.7822373261815,4503.778218651062,4561.982472951543,4160.819180591988,55
2024-02-01,4525.182638561277,4619.281417458183,4474.384320938556,4542.613589173335,4143.153522381143,55
2024-02-02,4542.160440660009,4626.794744178856,4428.42928799282,4525.089563464966,4127.1704924767355,55
2024-02-05,4507.023418079685,4655.261622839246,4451.3233342921885,4591.17573905231,4187.445302515163,55
2024-02-06,4565.050584065542,4741.817870092175,4519.50747099243,4687.561772328572,4275.355516632575,55
2024-02-07,4674.075493858229,4738.982065680039,4571.439058205921,4694.644754942286,4281.815648842568,55
2024-02-08,4692.2749244073,4770.558173849036,4605.829340976793,4700.670078208905,4287.311128223661,55
2024-02-19,4729.14257847428,4872.313308081441,4670.705811131763,4852.558709990787,4425.84325459175,55
2024-02-20,4846.576314604349,4936.782493553829,4798.6746886613955,4886.437236653677,4456.742633180978,55
2024-02-21,4851.767037821953,5005.8983591661745,4817.872256235535,4911.222501926633,4479.348377011698,55
2024-02-22,4917.104216970357,5023.151356988733,4877.77895467565,4994.682861374864,4555.469551626081,55
