Date,MA20,MA50,MA100,MA200
2006-12-27,1819.8559,1611.9428,1471.4213,1359.9358
2006-12-28,1834.4217,1622.8499,1478.8877,1364.7947
2006-12-29,1849.5976,1634.7341,1487.1074,1369.8724
2007-01-04,1862.6341,1647.0647,1495.3003,1374.8269
2007-01-05,1875.3506,1658.9219,1503.2898,1379.8172
2007-01-08,1891.2546,1671.0968,1511.6986,1384.9647
2007-01-09,1911.9769,1684.6095,1520.5271,1390.4225
2007-01-10,1938.9781,1700.1850,1530.0810,1396.3036
2007-01-11,1962.6617,1715.9040,1539.9535,1402.1343
2007-01-12,1985.9058,1731.4237,1549.5949,1407.9186
2007-01-15,2014.8450,1749.0278,1560.2725,1414.2735
2007-01-16,2045.7050,1768.7173,1572.0902,1421.1159
2007-01-17,2070.7388,1787.0508,1583.2972,1427.6591
2007-01-18,2095.4945,1806.8383,1595.1496,1434.5152
2007-01-19,2125.6201,1828.5386,1607.7506,1441.8124
2007-01-22,2158.8362,1852.0087,1621.2147,1449.5084
2007-01-23,2191.4767,1874.3484,1634.1337,1457.0008
2007-01-24,2227.8719,1898.0740,1647.5337,1464.7154
2007-01-25,2258.7792,1920.7553,1659.8472,1471.9324
2007-01-26,2292.6655,1944.0649,1672.5897,1479.3882
2007-01-29,2325.6276,1967.2616,1685.5882,1486.9157
2007-01-30,2356.9588,1989.8542,1698.3289,1494.2974
2007-01-31,2376.5679,2008.6317,1709.3960,1500.7766
2007-02-01,2398.4862,2027.8865,1720.5881,1507.4168
2007-02-02,2415.6089,2044.8475,1730.8585,1513.5966
2007-02-05,2429.8068,2060.9439,1740.8780,1519.7332
2007-02-06,2440.8144,2077.0049,1751.0365,1525.9883
2007-02-07,2450.4544,2093.5716,1761.5967,1532.3743
2007-02-08,2461.8543,2110.3207,1772.4958,1538.9383
2007-02-09,2473.1391,2127.0396,1783.2905,1545.4078
2007-02-12,2483.3908,2144.7800,1795.2179,1552.2936
2007-02-13,2489.8372,2162.1586,1807.3855,1559.2976
2007-02-14,2502.7113,2180.1223,1820.0711,1566.4954
2007-02-15,2516.8022,2199.3742,1833.5090,1574.0738
2007-02-16,2524.8222,2217.8266,1846.5970,1581.4600
2007-02-26,2528.5115,2236.7792,1859.6633,1588.8373
2007-02-27,2521.8544,2251.2743,1870.0341,1594.9324
2007-02-28,2516.4823,2268.2974,1881.1602,1601.2715
2007-03-01,2511.2160,2282.4463,1891.5949,1606.9854
2007-03-02,2505.6380,2297.3912,1902.7428,1612.8002
2007-03-05,2496.1594,2311.1715,1913.3312,1618.3175
2007-03-06,2490.6733,2324.8798,1924.1946,1624.1878
2007-03-07,2499.8637,2339.6694,1935.9706,1630.4149
2007-03-08,2510.5627,2354.2177,1948.0488,1636.6747
2007-03-09,2523.8576,2368.2771,1959.7541,1642.9130
2007-03-12,2538.0292,2381.7961,1971.4894,1649.2028
2007-03-13,2552.9343,2396.3484,1983.6777,1655.5939
2007-03-14,2562.9680,2410.4045,1995.3963,1661.5920
2007-03-15,2573.8034,2424.8796,2007.9090,1667.9845
2007-03-16,2583.7125,2439.0331,2020.0898,1674.5085
2007-03-19,2591.7465,2453.5362,2032.7395,1681.2900
2007-03-20,2597.4388,2467.3654,2045.1076,1688.0408
2007-03-21,2601.0153,2480.6894,2057.7117,1694.8124
2007-03-22,2599.8959,2494.2789,2070.6718,1701.4327
2007-03-23,2599.7901,2507.6024,2083.2622,1707.9118
2007-03-26,2601.3432,2520.8146,2095.9557,1714.6526
2007-03-27,2615.4187,2532.6510,2108.6302,1721.2154
2007-03-28,2627.1703,2543.5743,2121.8796,1728.0923
2007-03-29,2644.2752,2555.0917,2135.4978,1735.1346
2007-03-30,2658.7981,2566.5481,2148.9859,1742.3201
2007-04-02,2679.8055,2577.1557,2163.0918,1750.2364
2007-04-03,2700.0812,2586.6303,2177.6738,1758.3585
2007-04-04,2716.9778,2598.1650,2192.6079,1766.8128
2007-04-05,2732.0345,2608.8337,2207.8360,1775.3313
2007-04-06,2749.7293,2617.9208,2223.2297,1783.9049
2007-04-09,2770.6922,2626.5385,2239.2736,1792.8814
2007-04-10,2793.6579,2637.2209,2255.7846,1802.1066
2007-04-11,2821.2022,2647.7366,2272.9053,1811.3198
2007-04-12,2848.3764,2660.7184,2290.7368,1820.6899
2007-04-13,2877.3540,2672.9085,2308.4867,1830.1062
2007-04-16,2907.4897,2686.2810,2326.7713,1840.0102
2007-04-17,2937.7453,2699.6800,2344.7671,1849.8402
2007-04-18,2966.9511,2716.8426,2362.7372,1859.6622
2007-04-19,2988.8173,2730.4113,2379.1489,1868.6488
2007-04-20,3017.1965,2748.2374,2396.5425,1878.2349
2007-04-23,3048.7013,2768.3724,2414.6582,1888.3458
2007-04-24,3079.6429,2788.1824,2432.5936,1898.2379
2007-04-25,3109.5911,2807.2290,2450.4003,1908.1733
2007-04-26,3140.7885,2826.6654,2468.4931,1918.2567
2007-04-27,3170.3953,2845.4506,2486.2451,1928.1824
2007-04-30,3200.5816,2864.0320,2504.4060,1938.6993
2007-05-08,3234.2204,2884.3836,2523.2711,1949.6866
2007-05-09,3266.6977,2903.7596,2541.9409,1960.7999
2007-05-10,3297.3638,2921.0583,2560.2163,1971.8470
2007-05-11,3328.2292,2939.2836,2578.5551,1982.9620
2007-05-14,3360.8441,2959.4716,2598.1254,1994.5364
2007-05-15,3384.1540,2982.1407,2616.7075,2005.7814
2007-05-16,3409.8826,3005.0967,2636.6971,2017.4185
2007-05-17,3438.1717,3031.5007,2656.9735,2029.4939
2007-05-18,3464.6276,3056.5044,2676.9478,2041.4757
2007-05-21,3487.2495,3082.7171,2696.9443,2053.7077
2007-05-22,3511.4474,3107.9896,2716.4347,2065.9673
2007-05-23,3538.5238,3132.3067,2735.9880,2078.4360
2007-05-24,3574.1133,3155.8316,2755.0246,2090.9816
2007-05-25,3608.7169,3182.1812,2775.2292,2103.9736
2007-05-28,3642.6504,3210.2209,2796.0085,2117.4417
2007-05-29,3681.7318,3239.7014,2818.0249,2131.4447
2007-05-30,3705.9783,3264.4331,2837.4188,2144.0875
2007-05-31,3730.7507,3289.4443,2857.1619,2157.3075
2007-06-01,3755.1572,3314.0285,2876.5308,2170.3382
2007-06-04,3761.7148,3332.0194,2892.7778,2182.0995
2007-06-05,3770.4656,3353.5943,2910.4798,2194.6838
2007-06-06,3779.7600,3375.2575,2927.9734,2207.5404
2007-06-07,3795.3218,3399.2287,2946.7538,2221.0270
2007-06-08,3812.4980,3424.3667,2965.9846,2234.6372
2007-06-11,3829.2968,3450.6530,2985.7338,2248.7162
2007-06-12,3856.3492,3478.5129,3005.5820,2263.0545
2007-06-13,3882.4658,3507.2149,3025.3946,2277.7378
2007-06-14,3901.4796,3534.3824,3044.7371,2292.3453
2007-06-15,3922.3234,3561.9145,3064.2313,2306.9131
2007-06-18,3948.8881,3590.3501,3083.7529,2322.0127
2007-06-19,3974.9185,3617.9245,3102.2774,2337.1838
2007-06-20,3993.6128,3642.9607,3120.5629,2351.9300
2007-06-21,4014.5167,3668.8245,3138.8291,2366.9893
2007-06-22,4024.2285,3691.9809,3154.9508,2381.3507
2007-06-25,4023.2989,3711.2636,3168.9011,2395.0579
2007-06-26,4019.1166,3729.8849,3183.5529,2408.8433
2007-06-27,4034.9393,3749.9280,3198.8323,2423.1830
2007-06-28,4038.5812,3765.5262,3213.1223,2436.4848
2007-06-29,4040.2202,3779.1750,3226.0417,2449.3157
2007-07-02,4053.4546,3790.4053,3238.3432,2461.9657
2007-07-03,4062.5598,3803.5201,3251.6000,2474.9644
2007-07-04,4066.9142,3815.2428,3266.0427,2487.7194
2007-07-05,4057.1396,3826.5576,3278.4845,2499.5363
2007-07-06,4054.0118,3839.0929,3293.6652,2512.2618
2007-07-09,4052.5240,3852.1821,3310.2773,2525.5776
2007-07-10,4047.6398,3865.7117,3326.9470,2538.9918
2007-07-11,4038.8781,3878.9297,3343.0793,2552.3380
2007-07-12,4033.7430,3891.5643,3359.1148,2565.8053
2007-07-13,4027.7637,3904.8619,3375.1562,2579.2233
2007-07-16,4008.2885,3913.4329,3388.7325,2591.9752
2007-07-17,3995.5152,3922.4425,3403.4130,2605.3993
2007-07-18,3987.5344,3931.2953,3417.5275,2618.7993
2007-07-19,3976.2722,3940.3878,3430.7231,2632.1160
2007-07-20,3981.1168,3953.1359,3446.2098,2646.4034
2007-07-23,4002.2707,3967.8342,3463.6529,2661.6581
2007-07-24,4023.3084,3985.5466,3483.8437,2676.9389
2007-07-25,4041.9362,4002.7494,3503.9230,2692.5416
2007-07-26,4072.9273,4019.4284,3525.4646,2708.5297
2007-07-27,4106.7089,4036.0075,3546.2559,2724.4994
2007-07-30,4147.5561,4054.5280,3568.6225,2740.9769
2007-07-31,4186.7490,4073.6407,3590.8152,2757.5049
2007-08-01,4221.9793,4088.6249,3610.4658,2773.2182
2007-08-02,4274.0149,4106.5183,3631.1749,2789.6118
2007-08-03,4330.4165,4127.7727,3654.9770,2807.3655
2007-08-06,4385.3554,4149.2641,3679.7425,2825.6160
2007-08-07,4441.1148,4169.4649,3704.5831,2844.1304
2007-08-08,4495.8014,4194.8589,3729.6460,2862.5212
2007-08-09,4557.6574,4222.3269,3755.8856,2881.8973
2007-08-10,4613.2298,4248.0909,3781.0597,2900.5747
2007-08-13,4673.3682,4278.0943,3805.0568,2918.8982
2007-08-14,4731.5139,4306.8618,3830.2280,2937.6678
2007-08-15,4790.4785,4335.5827,3855.4201,2956.5659
2007-08-16,4845.0288,4360.2706,3879.7497,2975.2107
