Date,Open,High,Low,Close
2006-05-19,1378.8837,1417.2817,1373.9742,1411.9897
2006-05-22,1412.2171,1434.1809,1406.0465,1419.8140
2006-05-23,1410.9561,1410.9561,1360.7752,1361.9121
2006-05-24,1370.2119,1396.7028,1320.2377,1352.1860
2006-05-25,1348.5271,1360.7028,1328.9199,1351.6279
2006-05-26,1356.3204,1376.1757,1353.4470,1375.7313
2006-05-29,1384.9096,1412.7545,1375.3282,1412.1860
2006-05-30,1421.4987,1431.1938,1406.2532,1425.0749
2006-05-31,1423.7209,1433.5297,1400.5271,1411.3178
2006-06-01,1410.0052,1450.4083,1408.7235,1450.0052
2006-06-02,1453.8708,1459.2041,1428.4238,1436.8165
2006-06-05,1438.2016,1450.4393,1408.4961,1450.2946
2006-06-06,1447.3075,1460.5788,1438.6563,1446.1395
2006-06-07,1445.1473,1445.1473,1364.0310,1364.5788
2006-06-08,1353.0439,1376.6305,1330.1292,1370.5220
2006-06-09,1365.1783,1374.5116,1336.4858,1337.6641
2006-06-12,1326.9561,1352.0620,1318.2429,1341.2610
2006-06-13,1339.9587,1356.2067,1327.7726,1341.8915
2006-06-14,1335.0801,1335.0801,1312.1654,1327.0078
2006-06-15,1326.8424,1343.7829,1323.5142,1328.5685
2006-06-16,1333.3333,1362.2946,1333.3333,1362.2842
2006-06-19,1350.1395,1387.0698,1338.3979,1379.7313
2006-06-20,1378.4186,1386.2946,1368.2481,1383.1731
2006-06-21,1381.7468,1392.2481,1364.7649,1378.3256
2006-06-22,1376.6718,1386.8010,1370.6977,1376.2791
2006-06-23,1373.7571,1385.2920,1363.8346,1384.4444
2006-06-26,1386.6770,1409.3747,1386.6770,1409.2093
2006-06-27,1410.8941,1414.3773,1399.5762,1409.7158
2006-06-28,1407.5349,1412.2377,1399.1008,1408.6718
2006-06-29,1411.1111,1442.1085,1411.1111,1441.9845
2006-06-30,1449.7158,1456.1137,1431.5142,1440.7855
2006-07-03,1445.7261,1468.0413,1440.7442,1468.0413
2006-07-04,1470.8837,1474.0052,1448.2171,1458.4083
2006-07-05,1457.2610,1457.2610,1423.4832,1439.8036
2006-07-06,1438.3876,1466.4186,1436.8889,1466.3359
2006-07-07,1471.5452,1474.3152,1453.2196,1457.8088
2006-07-10,1457.8811,1461.0646,1444.3824,1459.5556
2006-07-11,1461.6434,1466.4806,1453.7468,1466.2326
2006-07-12,1466.7390,1479.0078,1464.3307,1466.8734
2006-07-13,1463.4419,1465.7778,1389.3127,1391.3075
2006-07-14,1378.5426,1413.6848,1372.1860,1402.7183
2006-07-17,1399.6279,1418.3463,1393.7261,1418.3463
2006-07-18,1416.9509,1419.7313,1405.5917,1419.5556
2006-07-19,1416.3204,1416.3204,1374.9664,1381.5401
2006-07-20,1380.2687,1392.0930,1373.8295,1390.3773
2006-07-21,1389.7674,1402.9354,1389.7364,1401.5814
2006-07-24,1385.3023,1405.2300,1372.5065,1403.7416
2006-07-25,1404.9819,1425.1576,1404.9819,1420.3307
2006-07-26,1424.0620,1427.1835,1412.9716,1417.3643
2006-07-27,1416.7959,1425.5814,1392.5478,1401.0853
2006-07-28,1400.4341,1405.4160,1372.2584,1386.4496
2006-07-31,1382.9871,1382.9871,1336.9819,1337.8088
2006-08-01,1336.1344,1346.6563,1321.4884,1325.1266
2006-08-02,1324.9509,1331.8966,1300.2687,1317.9225
2006-08-03,1320.5478,1324.8475,1304.0827,1314.4599
2006-08-04,1315.1008,1321.1886,1281.0129,1283.6279
2006-08-07,1274.9251,1283.5659,1263.0388,1265.2196
2006-08-08,1266.1912,1294.4599,1266.1912,1294.4599
2006-08-09,1296.5065,1300.4755,1287.2248,1293.3333
2006-08-10,1293.1886,1314.1809,1293.1059,1314.1809
2006-08-11,1316.0413,1320.8992,1308.0310,1318.5013
2006-08-14,1317.9742,1322.2842,1283.6693,1287.5659
2006-08-15,1284.9199,1308.3824,1281.5607,1308.3824
2006-08-16,1309.3747,1326.6873,1304.9509,1326.6873
2006-08-17,1323.2868,1323.2868,1306.3876,1314.3463
2006-08-18,1312.8992,1323.8553,1308.3411,1310.4599
2006-08-21,1276.9302,1313.3540,1270.4599,1313.2403
2006-08-22,1312.7649,1332.3204,1311.7313,1328.4444
2006-08-23,1327.9793,1338.3256,1325.9328,1328.8682
2006-08-24,1328.0000,1335.8140,1317.3747,1335.8140
2006-08-25,1336.9509,1345.4780,1335.8656,1338.9561
2006-08-28,1342.0775,1370.4289,1341.9742,1370.4289
2006-08-29,1373.2403,1394.5220,1371.5762,1374.8424
2006-08-30,1372.9922,1381.2817,1364.1550,1379.5039
2006-08-31,1380.4548,1387.8966,1376.0103,1383.6589
2006-09-01,1384.2997,1385.1473,1358.7287,1362.3773
2006-09-04,1359.9070,1382.1602,1359.8036,1382.1602
2006-09-05,1384.5891,1390.9147,1379.5556,1385.7158
2006-09-06,1386.4599,1391.5969,1376.5891,1391.5969
2006-09-07,1393.4574,1393.5711,1368.4548,1373.0026
2006-09-08,1372.1550,1379.5659,1370.8010,1376.8992
2006-09-11,1376.6305,1383.7313,1363.5245,1383.7313
2006-09-12,1383.7933,1395.8966,1382.2222,1392.9096
2006-09-13,1394.1602,1402.4393,1382.3876,1383.3488
2006-09-14,1383.3075,1390.7907,1368.2687,1383.2351
2006-09-15,1383.3695,1408.1654,1383.0904,1408.0827
2006-09-18,1413.5917,1421.7881,1407.8966,1421.7674
2006-09-19,1424.0000,1432.1654,1417.4987,1424.6098
2006-09-20,1422.3463,1428.2274,1411.5969,1424.7649
2006-09-21,1424.7649,1437.3333,1424.7649,1433.9742
2006-09-22,1436.5581,1440.3411,1420.1034,1421.0336
2006-09-25,1418.9251,1430.2532,1407.3488,1418.5013
2006-09-26,1416.9096,1417.6537,1396.5685,1403.2558
2006-09-27,1402.8734,1417.1783,1400.9199,1417.1783
2006-09-28,1418.2222,1436.2377,1415.4005,1433.5917
2006-09-29,1435.7416,1452.7752,1435.7003,1450.4083
2006-10-09,1468.0724,1484.3101,1465.8501,1484.3101
2006-10-10,1485.9845,1491.9897,1474.9044,1485.5297
2006-10-11,1484.9406,1488.5891,1469.5711,1484.1447
2006-10-12,1484.4444,1487.1318,1471.4522,1474.4186
2006-10-13,1472.1447,1484.3411,1468.6925,1478.9457
2006-10-16,1480.4238,1482.7183,1463.0388,1466.1705
2006-10-17,1464.5478,1474.2016,1458.0568,1461.9638
2006-10-18,1461.4057,1485.8811,1461.0336,1485.8811
2006-10-19,1487.1731,1494.1809,1482.1085,1487.7313
2006-10-20,1489.0646,1496.5891,1484.9096,1488.5581
2006-10-23,1487.8966,1493.4574,1450.1395,1456.0413
2006-10-24,1455.8966,1488.4238,1455.8966,1488.4238
2006-10-25,1491.5866,1508.7649,1483.0078,1495.4315
