Date,Open,High,Low,Close,Volume
2022-08-29,5470.8935,5613.0575,5418.1159,5558.8894,
2022-08-30,5565.5619,5632.2959,5450.5508,5512.2225,
2022-08-31,5488.5638,5573.8800,5369.2894,5442.1791,
2022-09-01,5432.5157,5544.5177,5353.0751,5419.0463,
2022-09-02,5434.1558,5495.9860,5328.2421,5398.4781,
2022-09-05,5399.7996,5515.5873,5338.0123,5464.3872,
2022-09-06,5477.3437,5589.7193,5393.9803,5538.2215,
2022-09-07,5503.8937,5644.3817,5469.0396,5583.2263,
2022-09-08,5567.1850,5635.7389,5479.4708,5534.6124,
2022-09-09,5556.3786,5640.3163,5492.7689,5585.1656,
2022-09-13,5599.5175,5645.7804,5493.8184,5556.9498,
2022-09-14,5488.6064,5589.8837,5427.2163,5492.0702,
2022-09-15,5518.3165,5577.6469,5317.9760,5383.3334,
2022-09-16,5359.8772,5419.5757,5219.1495,5244.7404,
2022-09-19,5245.7051,5342.1933,5193.3228,5274.4295,
2022-09-20,5285.9060,5360.0216,5210.9848,5275.9442,
2022-09-21,5260.6271,5340.8088,5203.6071,5271.5339,
2022-09-22,5238.4489,5329.8240,5172.4568,5270.7004,
2022-09-23,5258.1473,5352.8098,5189.2714,5245.7972,
2022-09-26,5206.1780,5332.1397,5133.8179,5200.1893,
2022-09-27,5216.0432,5278.3713,5098.7445,5223.5123,
2022-09-28,5214.8157,5273.8047,5122.9134,5151.8991,
2022-09-29,5197.6893,5266.0853,5110.2292,5174.9656,
2022-09-30,5182.8971,5252.1344,5103.6077,5159.7673,
2022-10-10,5182.3007,5273.0128,5068.1871,5117.1989,
2022-10-11,5122.7084,5199.7541,5044.5193,5127.1508,
2022-10-12,5116.3943,5198.4694,5013.8010,5168.8368,
2022-10-13,5126.1604,5188.5669,5015.6211,5075.7659,
2022-10-14,5108.0151,5230.2445,5049.9103,5145.2522,
2022-10-17,5108.4750,5157.9085,4992.7433,5096.8615,
2022-10-18,5118.9527,5177.9033,5045.3962,5082.7280,
2022-10-19,5063.3824,5139.2648,4993.4027,5027.6600,
2022-10-20,4997.6938,5058.6264,4907.3155,4971.6123,
2022-10-21,4968.3338,5060.4951,4926.3038,4985.0436,
2022-10-24,4960.4165,5017.2699,4809.0802,4849.3293,
2022-10-25,4841.9332,4928.2649,4777.9033,4856.3332,
2022-10-26,4859.9595,4926.9653,4768.4417,4824.5220,
2022-10-27,4843.3818,4915.9108,4738.2212,4778.9946,
2022-10-28,4752.0730,4826.7048,4650.3203,4686.9225,
2022-10-31,4643.1576,4741.0419,4493.4156,4553.8431,
2022-11-01,4560.1422,4702.9329,4491.6689,4665.7227,
2022-11-02,4648.5681,4793.9340,4596.7056,4737.3179,
2022-11-03,4694.9784,4772.1981,4641.3421,4693.2200,
2022-11-04,4691.7857,4906.3606,4676.3146,4855.6798,
2022-11-07,4842.5473,4928.3090,4795.1404,4869.0347,
2022-11-08,4873.8462,4924.9633,4793.4024,4839.2692,
2022-11-09,4844.7291,4892.7514,4762.7526,4785.9455,
2022-11-10,4749.4207,4802.4798,4661.2935,4750.8451,
2022-11-11,4854.5418,4933.2393,4771.7866,4872.5436,
2022-11-14,4900.1494,4963.8350,4770.0268,4809.0064,
2022-11-15,4793.9438,4911.4948,4748.3050,4871.5655,
2022-11-16,4863.0987,4925.5237,4797.1484,4843.8711,
2022-11-17,4826.4243,4858.1098,4732.9304,4790.7737,
2022-11-18,4792.6236,4836.5802,4726.4682,4767.5885,
2022-11-21,4728.9235,4783.5283,4661.5351,4744.6078,
2022-11-22,4744.4229,4856.6175,4697.4218,4781.9444,
2022-11-23,4777.5021,4895.7169,4748.4344,4837.7457,
2022-11-24,4846.6391,4902.7001,4776.9190,4820.7369,
2022-11-25,4813.9183,4918.5125,4767.8730,4873.5987,
2022-11-28,4787.6577,4881.2072,4724.2887,4832.9057,
2022-11-29,4880.2839,4971.2123,4817.6257,4927.6840,
2022-11-30,4907.3722,5009.9755,4858.9067,4939.3231,
2022-12-01,5005.6457,5066.3540,4919.0886,4947.4644,
2022-12-02,4932.7359,4985.6384,4863.9241,4908.5271,
2022-12-05,4954.4476,5039.8515,4904.9534,4996.0549,
2022-12-06,4968.3021,5071.8984,4904.6264,5001.3410,
2022-12-07,4986.4030,5055.9479,4906.6360,4963.4491,
2022-12-08,4956.0814,5011.4287,4905.7807,4958.3913,
2022-12-09,4961.8924,5023.0507,4907.3406,4984.5135,
2022-12-12,4958.3619,5007.8274,4874.6425,4906.3208,
2022-12-13,4907.5794,4968.8808,4860.2400,4906.8572,
2022-12-14,4907.2641,4964.8170,4859.3184,4919.4898,
2022-12-15,4925.0749,4976.2446,4853.2021,4911.3308,
2022-12-16,4893.4117,4963.8603,4854.8300,4926.5798,
2022-12-19,4917.5306,4969.4069,4814.2498,4846.6470,
2022-12-20,4831.6043,4868.4260,4737.1698,4780.2193,
2022-12-21,4789.6839,4822.9947,4733.9754,4764.6381,
2022-12-22,4797.8240,4847.4879,4710.3906,4748.6555,
2022-12-23,4724.3355,4784.2087,4678.7852,4739.6902,
2022-12-26,4738.1841,4812.7679,4687.9659,4762.8308,
2022-12-27,4778.9059,4848.7121,4748.1304,4810.3079,
2022-12-28,4791.2604,4851.6482,4740.7649,4801.6779,
2022-12-29,4787.0294,4824.5383,4718.5131,4760.8608,
2022-12-30,4779.6279,4836.3278,4739.8062,4781.5885,
2023-01-03,4781.5779,4857.0059,4723.6576,4817.1731,
2023-01-04,4811.0560,4861.4007,4741.4650,4800.3746,
2023-01-05,4814.9199,4905.7892,4781.6327,4867.7614,
2023-01-06,4874.9068,4942.5658,4823.9711,4887.1385,
2023-01-09,4910.7491,4957.8374,4850.5436,4902.6253,
2023-01-10,4899.9965,4955.0927,4844.1170,4901.2724,
2023-01-11,4905.5309,4991.9372,4865.9432,4933.1458,
