Date,MA20,MA50,MA100,MA200
2007-06-07,3944.6124,3542.1656,3047.6855,2307.5698
2007-06-08,3951.6026,3565.3511,3065.9283,2320.9315
2007-06-11,3961.8062,3589.4923,3084.5360,2334.7845
2007-06-12,3984.1044,3615.3753,3103.5130,2349.0720
2007-06-13,4005.7054,3642.6749,3122.7616,2363.7626
2007-06-14,4021.0651,3669.3935,3141.8229,2378.3884
2007-06-15,4037.7447,3696.6307,3161.7261,2393.0319
2007-06-18,4058.2165,3725.1053,3181.7802,2408.2464
2007-06-19,4077.9845,3753.3199,3201.4094,2423.6540
2007-06-20,4089.2842,3779.0725,3220.5171,2438.5880
2007-06-21,4103.6269,3804.9583,3239.9505,2453.7132
2007-06-22,4107.0470,3827.2719,3257.0599,2468.0086
2007-06-25,4096.9700,3844.6243,3271.3884,2481.4035
2007-06-26,4084.5628,3862.1259,3286.0663,2495.0252
2007-06-27,4092.5225,3881.1266,3301.6120,2509.2115
2007-06-28,4088.9344,3895.2265,3316.1411,2522.3000
2007-06-29,4086.8739,3907.5231,3329.0730,2534.8784
2007-07-02,4099.5990,3917.8933,3341.2770,2547.4003
2007-07-03,4109.8109,3929.2345,3354.5106,2560.2868
2007-07-04,4113.2217,3938.3111,3368.5493,2572.8216
2007-07-05,4099.5339,3946.3140,3380.3557,2584.1921
2007-07-06,4092.9401,3955.0168,3394.9529,2596.4381
2007-07-09,4087.2264,3963.0784,3410.9684,2609.2285
2007-07-10,4073.7643,3969.9088,3426.0545,2621.8757
2007-07-11,4056.7928,3976.9701,3440.7323,2634.5771
2007-07-12,4043.4129,3983.6542,3455.2679,2647.3841
2007-07-13,4028.9809,3990.8810,3469.9746,2660.1618
2007-07-16,4001.6114,3993.7598,3482.5077,2672.3560
2007-07-17,3977.6656,3995.9018,3495.6035,2685.0246
2007-07-18,3959.5762,3998.0990,3508.2053,2697.6616
2007-07-19,3939.4067,3999.8042,3519.9714,2710.2271
2007-07-20,3935.2956,4005.3705,3533.3578,2723.6306
2007-07-23,3949.7209,4014.1003,3548.3350,2737.9885
2007-07-24,3961.7695,4025.6085,3565.9459,2752.3243
2007-07-25,3972.8796,4037.0849,3583.6296,2767.2112
2007-07-26,3995.8599,4047.9289,3602.5407,2782.3574
2007-07-27,4023.9251,4058.8955,3621.1289,2797.6003
2007-07-30,4057.6532,4070.8616,3641.1257,2813.3066
2007-07-31,4090.1251,4083.0594,3661.1802,2829.1906
2007-08-01,4118.3886,4090.3262,3678.7620,2844.1116
2007-08-02,4164.8357,4101.0020,3697.4551,2859.6161
2007-08-03,4210.7323,4113.6765,3717.9925,2875.9527
2007-08-06,4256.3488,4126.7287,3739.5719,2892.8420
2007-08-07,4305.3891,4138.2276,3761.1159,2909.8861
2007-08-08,4350.7752,4154.3853,3782.5188,2926.6159
2007-08-09,4400.4067,4171.9427,3804.5522,2943.9739
2007-08-10,4447.2574,4191.0173,3826.4897,2961.0914
2007-08-13,4500.1370,4216.0252,3847.8001,2978.0609
2007-08-14,4552.1225,4240.0240,3869.7412,2995.4055
2007-08-15,4603.3463,4263.2006,3891.4068,3012.7625
2007-08-16,4650.6300,4282.2113,3912.1884,3029.8851
2007-08-17,4684.4646,4298.5153,3931.9332,3046.3529
2007-08-20,4722.1240,4318.2274,3953.8598,3064.1235
2007-08-21,4764.0548,4337.5886,3976.4820,3082.2972
2007-08-22,4805.2036,4356.8841,3999.7795,3100.9671
2007-08-23,4848.2393,4378.7986,4024.0960,3120.0353
2007-08-24,4895.2904,4401.9138,4049.2722,3139.4312
2007-08-27,4938.3318,4422.9077,4074.0065,3158.8821
2007-08-28,4979.2212,4443.5541,4098.4370,3178.3762
2007-08-29,5024.7685,4464.5199,4121.7962,3197.4125
2007-08-30,5066.3726,4486.1003,4145.5293,3216.7063
2007-08-31,5102.4672,4511.8445,4169.5582,3236.2448
2007-09-03,5139.4279,4543.7118,4194.1681,3256.5084
2007-09-04,5172.2848,4573.3164,4217.7211,3276.3307
2007-09-05,5208.2103,4600.6605,4240.8935,3296.2748
2007-09-06,5241.0140,4632.7746,4264.0005,3316.6173
2007-09-07,5270.3742,4664.4174,4285.9702,3336.2608
2007-09-10,5304.2775,4697.8966,4307.8950,3356.1184
2007-09-11,5321.2553,4724.6018,4326.9181,3374.6756
2007-09-12,5342.1395,4754.7678,4346.5394,3393.4910
2007-09-13,5374.5959,4792.2361,4369.2750,3412.9060
2007-09-14,5414.4253,4827.1095,4391.0632,3432.4669
2007-09-17,5446.1297,4861.7887,4412.4336,3452.4921
2007-09-18,5472.1829,4896.9561,4433.4325,3472.3470
2007-09-19,5491.1793,4930.6388,4453.8044,3491.8958
2007-09-20,5509.7318,4965.3261,4474.4901,3511.7569
2007-09-21,5522.6786,4999.3929,4495.1370,3531.5196
2007-09-24,5536.6708,5036.9315,4515.3456,3551.3995
2007-09-25,5547.1540,5071.3495,4533.6256,3570.7290
2007-09-26,5556.9318,5103.4621,4550.7806,3589.4980
2007-09-27,5566.5664,5136.9641,4568.3842,3608.3452
2007-09-28,5581.2434,5170.2237,4587.7971,3627.9141
2007-10-08,5593.3349,5201.1574,4607.6288,3647.9333
2007-10-09,5609.6450,5232.4666,4629.0375,3668.0895
2007-10-10,5626.3121,5262.0335,4649.5592,3688.6279
2007-10-11,5644.2987,5292.1501,4670.0395,3709.1455
2007-10-12,5667.1628,5321.7125,4690.3040,3729.4785
2007-10-15,5690.1204,5350.8835,4710.8726,3750.2412
2007-10-16,5729.0408,5380.1681,4731.6137,3771.1253
2007-10-17,5761.1473,5411.8712,4751.0987,3791.5722
2007-10-18,5774.8827,5436.2549,4768.6284,3810.6918
2007-10-19,5786.0858,5457.2509,4785.4637,3829.7751
2007-10-22,5784.7302,5473.1413,4799.9350,3848.0497
2007-10-23,5787.9990,5490.0000,4814.1138,3866.8150
2007-10-24,5796.7194,5509.0164,4831.7009,3885.8971
2007-10-25,5788.3922,5520.5203,4846.2315,3903.4407
2007-10-26,5784.6047,5534.3318,4862.6745,3921.3041
2007-10-29,5784.3183,5550.6040,4883.3146,3939.5236
2007-10-30,5791.6284,5567.1518,4903.5879,3958.2117
2007-10-31,5808.5545,5585.5454,4924.3730,3977.0618
2007-11-01,5817.7313,5603.8047,4943.0080,3995.3467
