reference_date,ticker,name,csi300_member,quarter_net_income,four_quarter_net_income,financial_eligible,momentum_return,volatility,RAM,z_score,momentum_score,rank,selected,csi300_weight,raw_weight,final_weight,fin_latest_period,fin_latest_available,fin_field,fin_reason,mom_start_date,mom_end_date,traded_days,momentum_eligible,mom_reason,eligible,fmc,weight_cap,buffer_retained
2020-02-28,600606,绿地控股,True,4355256725,2.024387485e+10,True,0.02044025157,0.01620285801,1.261521366,-0.5537180206,0.6436174304,197,False,0.002544970271,,0,2019-09-30,2019-10-25,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.106202161e+10,,False
2020-02-28,600522,中天科技,True,344859233.8,1928172997,True,0.02101359703,0.02002162366,1.049545101,-0.5645545976,0.639159542,198,False,0.0009245728325,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,2.581641733e+10,,False
2020-02-28,601225,陕西煤业,True,3507157832,1.663009607e+10,True,0.01339543165,0.01529321936,0.8759065924,-0.5734312852,0.6355536523,199,False,0.002829256006,,0,2019-12-31,2020-02-27,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.9e+10,,False
2020-02-28,002027,分众传媒,True,573449307.3,2344888404,True,0.02083333333,0.02419359035,0.8611096177,-0.574187731,0.6352482492,200,False,0.002807047445,,0,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.83798807e+10,,False
2020-02-28,601212,白银有色,True,127637963.9,858312038.8,True,0.01219512195,0.03064632977,0.3979309118,-0.5978661921,0.6258346318,201,False,0.0007666569374,,0,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,2.140700521e+10,,False
2020-02-28,600115,中国东航,True,2647000000,2784000000,True,0.005917159763,0.0228190612,0.2593077652,-0.6049528365,0.6230712687,202,False,0.001594788041,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4.4530525e+10,,False
2020-02-28,601111,中国国航,True,4107211000,8177687000,True,0.004512804896,0.02322437756,0.1943132764,-0.6082754622,0.6217840311,203,False,0.00252437507,,0,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.04869514e+10,,False
2020-02-28,601577,长沙银行,True,1531646000,5020324000,True,0.003484320557,0.01997766575,0.1744107946,-0.60929291,0.6213909188,204,False,0.0002905166598,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,8111961619,,False
2020-02-28,601688,华泰证券,True,2388039805,7056064092,True,0.000528262018,0.02414051961,0.02188279401,-0.6170903935,0.6183946204,205,False,0.00488793585,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,1.364835601e+11,,False
2020-02-28,601988,中国银行,True,4.9804e+10,2.00933e+11,True,-0.001029866117,0.008992671218,-0.1145228256,-0.6240636742,0.6157394047,206,False,0.02679619082,,0,2019-09-30,2019-10-31,NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.482175777e+11,,False
2020-02-28,600340,华夏幸福,True,1309617779,1.37449325e+10,True,-0.004524886878,0.01945485002,-0.232584002,-0.6300991567,0.6134596143,207,False,0.002516958732,,0,2019-09-30,2019-10-19,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,7.027986842e+10,,False
2020-02-28,601898,中煤能源,True,2809123000,8592296000,True,-0.003844073368,0.01498422545,-0.2565413461,-0.6313238957,0.612999051,208,False,0.001412662627,,0,2019-09-30,2019-10-29,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,3.944512172e+10,,False
